2026-09-08 11:40:00.180 |WARNING | funbuild.core.empty_build : empty_build:  18 | funbuild | - 未识别到版本清单 (pyproject.toml / package.json / VERSION / script/__version__.md), 回退到 EmptyBuild: upgrade、tag、build 将不会有任何效果
2026-09-08 11:40:00.181 |INFO    | funbuild.core.base : base: 161 | funbuild | - funflix-dev push
2026-09-08 13:40:41.429 |WARNING | funbuild.core.empty_build : empty_build:  18 | funbuild | - 未识别到版本清单 (pyproject.toml / package.json / VERSION / script/__version__.md), 回退到 EmptyBuild: upgrade、tag、build 将不会有任何效果
2026-09-08 13:40:41.430 |INFO    | funbuild.core.base : base: 161 | funbuild | - funflix-dev push
2026-09-08 16:23:40.546 |WARNING | funbuild.core.empty_build : empty_build:  18 | funbuild | - 未识别到版本清单 (pyproject.toml / package.json / VERSION / script/__version__.md), 回退到 EmptyBuild: upgrade、tag、build 将不会有任何效果
2026-09-08 16:23:40.546 |INFO    | funbuild.core.base : base: 187 | funbuild | - funflix-dev build
2026-09-08 16:23:40.546 |INFO    | funbuild.core.base : base: 128 | funbuild | - funflix-dev pull
2026-09-08 16:23:41.001 |INFO    | funbuild.core.base : base: 161 | funbuild | - funflix-dev push
2026-09-08 16:25:34.184 |WARNING | funbuild.core.empty_build : empty_build:  18 | funbuild | - 未识别到版本清单 (pyproject.toml / package.json / VERSION / script/__version__.md), 回退到 EmptyBuild: upgrade、tag、build 将不会有任何效果
2026-09-08 16:25:34.184 |INFO    | funbuild.core.base : base: 161 | funbuild | - funflix-dev push
2026-09-08 17:53:47.075 |WARNING | funbuild.core.empty_build : empty_build:  18 | funbuild | - 未识别到版本清单 (pyproject.toml / package.json / VERSION / script/__version__.md), 回退到 EmptyBuild: upgrade、tag、build 将不会有任何效果
2026-09-08 17:53:47.075 |INFO    | funbuild.core.base : base: 161 | funbuild | - funflix-dev push
